genre,color,top,left,font_size,run_date
lovers rock,"rgb(143, 145, 13)",6286px,1176px,103%,20211202
school ensemble,"rgb(96, 131, 131)",15681px,532px,100%,20211202
piano blues,"rgb(102, 136, 46)",16525px,916px,101%,20211202
folk rock italiano,"rgb(134, 137, 10)",12559px,720px,102%,20211202
cante alentejano,"rgb(58, 156, 94)",18539px,623px,100%,20211202
fingerstyle,"rgb(77, 168, 174)",15984px,890px,101%,20211202
canadian blues,"rgb(151, 127, 14)",11754px,731px,100%,20211202
dutch musical,"rgb(118, 140, 20)",14125px,546px,100%,20211202
cha-cha-cha,"rgb(127, 133, 63)",15151px,964px,101%,20211202
zim gospel,"rgb(158, 136, 4)",9595px,660px,100%,20211202
jam band,"rgb(155, 126, 60)",11829px,699px,104%,20211202
candombe,"rgb(160, 128, 39)",10274px,964px,100%,20211202
wyoming indie,"rgb(170, 124, 31)",9133px,462px,100%,20211202
sunshine pop,"rgb(126, 132, 8)",13680px,664px,103%,20211202
manitoba indie,"rgb(136, 141, 28)",10507px,548px,100%,20211202
rwandan gospel,"rgb(142, 143, 2)",8691px,668px,100%,20211202
taiwan indie,"rgb(150, 136, 34)",8296px,518px,102%,20211202
hampton roads indie,"rgb(166, 130, 38)",9682px,446px,100%,20211202
musica popular amazonense,"rgb(167, 136, 16)",9282px,867px,100%,20211202
pop costarricense,"rgb(173, 141, 11)",8218px,1025px,100%,20211202
dutch classical piano,"rgb(34, 164, 218)",19836px,539px,100%,20211202
west virginia indie,"rgb(181, 116, 44)",10457px,409px,100%,20211202
brazilian rockabilly,"rgb(192, 110, 32)",9505px,543px,100%,20211202
syro-aramaic chant,"rgb(53, 172, 25)",18180px,362px,100%,20211202
dutch r&b,"rgb(139, 148, 14)",7624px,946px,101%,20211202
english indie rock,"rgb(186, 121, 22)",5103px,385px,102%,20211202
deep downtempo fusion,"rgb(108, 156, 165)",13187px,369px,100%,20211202
jazz puertorriqueno,"rgb(155, 123, 96)",14872px,1032px,100%,20211202
adventista,"rgb(104, 158, 23)",12218px,442px,101%,20211202
macross,"rgb(169, 123, 24)",7070px,413px,100%,20211202
nuevo flamenco,"rgb(133, 136, 36)",14100px,918px,101%,20211202
contemporary gospel,"rgb(162, 119, 5)",11533px,604px,101%,20211202
jazz guitar trio,"rgb(71, 157, 168)",17454px,998px,100%,20211202
classic indonesian rock,"rgb(175, 125, 17)",7486px,486px,102%,20211202
polish alternative rap,"rgb(178, 129, 12)",8691px,1030px,104%,20211202
finnish trap,"rgb(156, 148, 7)",3612px,1079px,101%,20211202
carnaval,"rgb(201, 120, 8)",3849px,792px,102%,20211202
classic colombian pop,"rgb(130, 152, 16)",12593px,1088px,101%,20211202
assyrian pop,"rgb(174, 131, 3)",6409px,741px,100%,20211202
german drill,"rgb(164, 140, 20)",7251px,1108px,104%,20211202
rap paraguayo,"rgb(160, 148, 22)",5629px,1126px,100%,20211202
rap chileno,"rgb(173, 129, 19)",10753px,1084px,103%,20211202
