genre,color,top,left,font_size,run_date
judaica,"rgb(80, 145, 22)",14275px,706px,100%,20211202
school ensemble,"rgb(96, 131, 131)",15661px,534px,100%,20211202
folk rock italiano,"rgb(134, 137, 10)",12577px,722px,102%,20211202
piano blues,"rgb(102, 136, 46)",16530px,918px,101%,20211202
canadian blues,"rgb(151, 127, 14)",11736px,732px,100%,20211202
zim gospel,"rgb(158, 136, 4)",9724px,662px,100%,20211202
mbalax,"rgb(160, 132, 21)",11277px,959px,100%,20211202
cha-cha-cha,"rgb(127, 133, 63)",15145px,965px,101%,20211202
dutch musical,"rgb(118, 140, 20)",14087px,548px,100%,20211202
fingerstyle,"rgb(77, 168, 174)",15926px,889px,101%,20211202
cante alentejano,"rgb(58, 156, 94)",18516px,625px,100%,20211202
candombe,"rgb(160, 128, 39)",10144px,965px,100%,20211202
sunshine pop,"rgb(126, 132, 8)",13598px,666px,103%,20211202
wyoming indie,"rgb(170, 124, 31)",8935px,465px,100%,20211202
latin ska,"rgb(210, 114, 20)",6475px,737px,101%,20211202
sesame street,"rgb(132, 114, 4)",12701px,1072px,100%,20211202
taiwan indie,"rgb(150, 136, 35)",8169px,521px,102%,20211202
manitoba indie,"rgb(136, 141, 28)",10856px,550px,100%,20211202
folk rock,"rgb(126, 134, 18)",13535px,689px,114%,20211202
rwandan gospel,"rgb(142, 143, 2)",8776px,670px,100%,20211202
hampton roads indie,"rgb(166, 130, 38)",9432px,448px,100%,20211202
cimbalom,"rgb(106, 152, 107)",16481px,712px,100%,20211202
jam band,"rgb(155, 126, 60)",11846px,701px,104%,20211202
dutch classical piano,"rgb(34, 164, 218)",19789px,541px,100%,20211202
spanish new wave,"rgb(190, 117, 18)",5963px,625px,103%,20211202
musica popular amazonense,"rgb(167, 136, 16)",9302px,869px,100%,20211202
west virginia indie,"rgb(181, 116, 44)",10435px,412px,100%,20211202
syro-aramaic chant,"rgb(53, 172, 25)",18158px,364px,100%,20211202
italian metal,"rgb(182, 24, 121)",9738px,161px,101%,20211202
pop costarricense,"rgb(173, 141, 11)",7991px,1026px,100%,20211202
dutch r&b,"rgb(139, 148, 14)",7447px,947px,101%,20211202
brazilian rockabilly,"rgb(192, 110, 32)",9700px,543px,100%,20211202
jazz puertorriqueno,"rgb(155, 123, 96)",14842px,1033px,100%,20211202
contemporary gospel,"rgb(162, 118, 5)",11078px,609px,101%,20211202
adventista,"rgb(104, 158, 23)",12303px,444px,101%,20211202
jazz guitar trio,"rgb(71, 157, 168)",17432px,999px,100%,20211202
deep downtempo fusion,"rgb(108, 156, 165)",13290px,372px,100%,20211202
macross,"rgb(169, 123, 24)",6978px,416px,100%,20211202
norwegian alternative rock,"rgb(184, 110, 75)",9211px,301px,100%,20211202
english indie rock,"rgb(186, 121, 22)",5106px,390px,102%,20211202
classic indonesian rock,"rgb(175, 125, 17)",7505px,488px,102%,20211202
german drill,"rgb(164, 140, 20)",7246px,1109px,104%,20211202
assyrian pop,"rgb(174, 131, 3)",6292px,742px,100%,20211202
rap chileno,"rgb(172, 129, 19)",10512px,1083px,103%,20211202
malaysian metal,"rgb(218, 87, 77)",6990px,307px,100%,20211202
malawian pop,"rgb(158, 143, 9)",10032px,1046px,100%,20211202
tanzanian traditional,"rgb(119, 137, 34)",14916px,820px,100%,20211202
hindustani classical,"rgb(110, 141, 99)",16810px,579px,100%,20211202
italian jazz,"rgb(75, 155, 134)",16956px,722px,101%,20211202
