genre,color,top,left,font_size,run_date
judaica,"rgb(80, 145, 22)",14275px,706px,100%,20211201
school ensemble,"rgb(96, 131, 131)",15661px,534px,100%,20211201
folk rock italiano,"rgb(134, 137, 10)",12577px,722px,102%,20211201
piano blues,"rgb(102, 136, 46)",16530px,918px,101%,20211201
canadian blues,"rgb(151, 127, 14)",11736px,732px,100%,20211201
zim gospel,"rgb(158, 136, 4)",9724px,662px,100%,20211201
mbalax,"rgb(160, 132, 21)",11277px,959px,100%,20211201
cha-cha-cha,"rgb(127, 133, 63)",15145px,965px,101%,20211201
dutch musical,"rgb(118, 140, 20)",14087px,548px,100%,20211201
fingerstyle,"rgb(77, 168, 174)",15926px,889px,101%,20211201
cante alentejano,"rgb(58, 156, 94)",18516px,625px,100%,20211201
candombe,"rgb(160, 128, 39)",10144px,965px,100%,20211201
sunshine pop,"rgb(126, 132, 8)",13598px,666px,103%,20211201
wyoming indie,"rgb(170, 124, 31)",8935px,465px,100%,20211201
latin ska,"rgb(210, 114, 20)",6475px,737px,101%,20211201
sesame street,"rgb(132, 114, 4)",12701px,1072px,100%,20211201
taiwan indie,"rgb(150, 136, 35)",8169px,521px,102%,20211201
manitoba indie,"rgb(136, 141, 28)",10856px,550px,100%,20211201
folk rock,"rgb(126, 134, 18)",13535px,689px,114%,20211201
rwandan gospel,"rgb(142, 143, 2)",8776px,670px,100%,20211201
hampton roads indie,"rgb(166, 130, 38)",9432px,448px,100%,20211201
cimbalom,"rgb(106, 152, 107)",16481px,712px,100%,20211201
jam band,"rgb(155, 126, 60)",11846px,701px,104%,20211201
dutch classical piano,"rgb(34, 164, 218)",19789px,541px,100%,20211201
spanish new wave,"rgb(190, 117, 18)",5963px,625px,103%,20211201
musica popular amazonense,"rgb(167, 136, 16)",9302px,869px,100%,20211201
west virginia indie,"rgb(181, 116, 44)",10435px,412px,100%,20211201
syro-aramaic chant,"rgb(53, 172, 25)",18158px,364px,100%,20211201
italian metal,"rgb(182, 24, 121)",9738px,161px,101%,20211201
pop costarricense,"rgb(173, 141, 11)",7991px,1026px,100%,20211201
dutch r&b,"rgb(139, 148, 14)",7447px,947px,101%,20211201
brazilian rockabilly,"rgb(192, 110, 32)",9700px,543px,100%,20211201
jazz puertorriqueno,"rgb(155, 123, 96)",14842px,1033px,100%,20211201
contemporary gospel,"rgb(162, 118, 5)",11078px,609px,101%,20211201
adventista,"rgb(104, 158, 23)",12303px,444px,101%,20211201
jazz guitar trio,"rgb(71, 157, 168)",17432px,999px,100%,20211201
deep downtempo fusion,"rgb(108, 156, 165)",13290px,372px,100%,20211201
macross,"rgb(169, 123, 24)",6978px,416px,100%,20211201
norwegian alternative rock,"rgb(184, 110, 75)",9211px,301px,100%,20211201
english indie rock,"rgb(186, 121, 22)",5106px,390px,102%,20211201
classic indonesian rock,"rgb(175, 125, 17)",7505px,488px,102%,20211201
german drill,"rgb(164, 140, 20)",7246px,1109px,104%,20211201
assyrian pop,"rgb(174, 131, 3)",6292px,742px,100%,20211201
rap chileno,"rgb(172, 129, 19)",10512px,1083px,103%,20211201
malaysian metal,"rgb(218, 87, 77)",6990px,307px,100%,20211201
malawian pop,"rgb(158, 143, 9)",10032px,1046px,100%,20211201
tanzanian traditional,"rgb(119, 137, 34)",14916px,820px,100%,20211201
hindustani classical,"rgb(110, 141, 99)",16810px,579px,100%,20211201
italian jazz,"rgb(75, 155, 134)",16956px,722px,101%,20211201
australian classical piano,"rgb(28, 164, 195)",19875px,507px,100%,20211201
blues,"rgb(105, 134, 33)",16348px,1009px,104%,20211201
histoire pour enfants,"rgb(78, 136, 7)",15025px,1177px,100%,20211201
choral,"rgb(36, 159, 67)",19494px,227px,101%,20211201
classic bangla pop,"rgb(100, 152, 23)",15080px,637px,101%,20211201
swedish rock-and-roll,"rgb(177, 122, 69)",10675px,657px,100%,20211201
kolkata indie,"rgb(147, 139, 10)",8972px,674px,100%,20211201
haitian gospel,"rgb(152, 138, 10)",10191px,611px,100%,20211201
classic turkish pop,"rgb(129, 138, 13)",14287px,564px,102%,20211201
mambo,"rgb(140, 128, 68)",14868px,1009px,101%,20211201
chicago bop,"rgb(157, 146, 2)",4665px,975px,102%,20211201
southern gospel,"rgb(119, 143, 14)",12908px,550px,101%,20211201
sinhala pop,"rgb(146, 143, 11)",10131px,844px,101%,20211201
goralski,"rgb(131, 146, 5)",11364px,785px,100%,20211201
musica afroperuana,"rgb(143, 138, 28)",12266px,1103px,100%,20211201
turkish singer-songwriter,"rgb(131, 147, 13)",10657px,698px,103%,20211201
worcester ma indie,"rgb(174, 121, 22)",8108px,465px,100%,20211201
garage rock mexicano,"rgb(205, 105, 57)",5489px,356px,100%,20211201
chinese punk,"rgb(212, 96, 29)",6196px,428px,100%,20211201
carnaval,"rgb(201, 120, 8)",3856px,791px,102%,20211201
melanesian pop,"rgb(160, 142, 8)",4215px,990px,101%,20211201
